código;descrição
58298;Edição Integrada à Impressão de Cadastros, Listas e de Outros Produtos Gráficos
59111;Atividades de Produção Cinematográfica, de Vídeos e de Programas de Televisão
59120;Atividades de Pós-Produção Cinematográfica, de Vídeos e de Programas de Televisão
59138;Distribuição Cinematográfica, de Vídeo e de Programas de Televisão
59146;Atividades de Exibição Cinematográfica
59201;Atividades de Gravação de Som e de Edição de Música
60101;Atividades de Rádio
60217;Atividades de Televisão Aberta
60225;Programadoras e Atividades Relacionadas à Televisão por Assinatura
61108;Telecomunicações por Fio
61205;Telecomunicações sem Fio
61302;Telecomunicações por Satélite
61418;Operadoras de Televisão por Assinatura por Cabo
61426;Operadoras de Televisão por Assinatura por Microondas
61434;Operadoras de Televisão por Assinatura por Satélite
61906;Outras Atividades de Telecomunicações
62015;Desenvolvimento de Programas de Computador Sob Encomenda
62023;Desenvolvimento e Licenciamento de Programas de Computador Customizáveis
62031;Desenvolvimento e Licenciamento de Programas de Computador Não-Customizáveis
62040;Consultoria em Tecnologia da Informação
62091;Suporte Técnico, Manutenção e Outros Serviços em Tecnologia da Informação
63119;Tratamento de Dados, Provedores de Serviços de Aplicação e Serviços de Hospedagem na Internet
63194;Portais, Provedores de Conteúdo e Outros Serviços de Informação na Internet
63917;Agências de Notícias
63992;Outras Atividades de Prestação de Serviços de Informação não Especificadas Anteriormente
64107;Banco Central
64212;Bancos Comerciais
64221;Bancos Múltiplos, com Carteira Comercial
64239;Caixas Econômicas
64247;Crédito Cooperativo
64310;Bancos Múltiplos, sem Carteira Comercial
64328;Bancos de Investimento
64336;Bancos de Desenvolvimento
64344;Agências de Fomento
64352;Crédito Imobiliário
64361;Sociedades de Crédito, Financiamento e Investimento - Financeiras
64379;Sociedades de Crédito ao Microempreendedor
64387;Bancos de Câmbio e Outras Instituições de Intermediação Não-Monetária
64409;Arrendamento Mercantil
64506;Sociedades de Capitalização
64611;Holdings de Instituições Financeiras
64620;Holdings de Instituições Não-Financeiras
64638;Outras Sociedades de Participação, Exceto Holdings
64701;Fundos de Investimento
64913;Sociedades de Fomento Mercantil - Factoring
64921;Securitização de Créditos
64930;Administração de Consórcios para Aquisição de Bens e Direitos
64999;Outras Atividades de Serviços Financeiros não Especificadas Anteriormente
65111;Seguros de Vida
65120;Seguros Não-Vida
65201;Seguros-Saúde
65308;Resseguros
65413;Previdência Complementar Fechada
65421;Previdência Complementar Aberta
65502;Planos de Saúde
66118;Administração de Bolsas e Mercados de Balcão Organizados
66126;Atividades de Intermediários em Transações de Títulos, Valores Mobiliários e Mercadorias
66134;Administração de Cartões de Crédito
66193;Atividades Auxiliares dos Serviços Financeiros não Especificadas Anteriormente
66215;Avaliação de Riscos e Perdas
66223;Corretores e Agentes de Seguros, de Planos de Previdência Complementar e de Saúde
66291;Atividades Auxiliares dos Seguros, da Previdência Complementar e dos Planos de Saúde não Especificadas Anteriormente
66304;Atividades de Administração de Fundos por Contrato ou Comissão
68102;Atividades Imobiliárias de Imóveis Próprios
68218;Intermediação na Compra, Venda e Aluguel de Imóveis
68226;Gestão e Administração da Propriedade Imobiliária
69117;Atividades Jurídicas, Exceto Cartórios
69125;Cartórios
69206;Atividades de Contabilidade, Consultoria e Auditoria Contábil e Tributária
70107;Sedes de Empresas e Unidades Administrativas Locais
70204;Atividades de Consultoria em Gestão Empresarial
71111;Serviços de Arquitetura
71120;Serviços de Engenharia
71197;Atividades Técnicas Relacionadas à Arquitetura e Engenharia
71201;Testes e Análises Técnicas
72100;Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais
72207;Pesquisa e Desenvolvimento Experimental em Ciências Sociais e Humanas
73114;Agências de Publicidade
73122;Agenciamento de Espaços para Publicidade, Exceto em Veículos de Comunicação
73190;Atividades de Publicidade não Especificadas Anteriormente
73203;Pesquisas de Mercado e de Opinião Pública
74102;Design e Decoração de Interiores
74200;Atividades Fotográficas e Similares
74901;Atividades Profissionais, Científicas e Técnicas não Especificadas Anteriormente
75001;Atividades Veterinárias
77110;Locação de Automóveis sem Condutor
77195;Locação de Meios de Transporte, Exceto Automóveis, sem Condutor
77217;Aluguel de Equipamentos Recreativos e Esportivos
77225;Aluguel de Fitas de Vídeo, Dvds e Similares
77233;Aluguel de Objetos do Vestuário, Jóias e Acessórios
77292;Aluguel de Objetos Pessoais e Domésticos não Especificados Anteriormente
77314;Aluguel de Máquinas e Equipamentos Agrícolas sem Operador
77322;Aluguel de Máquinas e Equipamentos para Construção sem Operador
77331;Aluguel de Máquinas e Equipamentos para Escritórios
77390;Aluguel de Máquinas e Equipamentos não Especificados Anteriormente
77403;Gestão de Ativos Intangíveis Não-Financeiros
78108;Seleção e Agenciamento de Mão-De-Obra
78205;Locação de Mão-De-Obra Temporária
78302;Fornecimento e Gestão de Recursos Humanos para Terceiros
79112;Agências de Viagens
79121;Operadores Turísticos
79902;Serviços de Reservas e Outros Serviços de Turismo não Especificados Anteriormente
80111;Atividades de Vigilância e Segurança Privada
80129;Atividades de Transporte de Valores
80200;Atividades de Monitoramento de Sistemas de Segurança
80307;Atividades de Investigação Particular
81117;Serviços Combinados para Apoio a Edifícios, Exceto Condomínios Prediais
81125;Condomínios Prediais
81214;Limpeza em Prédios e em Domicílios
81222;Imunização e Controle de Pragas Urbanas
81290;Atividades de Limpeza não Especificadas Anteriormente
81303;Atividades Paisagísticas
82113;Serviços Combinados de Escritório e Apoio Administrativo
82199;Fotocópias, Preparação de Documentos e Outros Serviços Especializados de Apoio Administrativo
82202;Atividades de Teleatendimento
82300;Atividades de Organização de Eventos, Exceto Culturais e Esportivos
82911;Atividades de Cobranças e Informações Cadastrais
82920;Envasamento e Empacotamento Sob Contrato
82997;Atividades de Serviços Prestados Principalmente às Empresas não Especificadas Anteriormente
84116;Administração Pública em Geral
84124;Regulação das Atividades de Saúde, Educação, Serviços Culturais e Outros Serviços Sociais
84132;Regulação das Atividades Econômicas
84141;Atividades de Suporte à Administração Pública (Desativada)
84213;Relações Exteriores
84221;Defesa
84230;Justiça
84248;Segurança e Ordem Pública
84256;Defesa Civil
84302;Seguridade Social Obrigatória
85112;Educação Infantil - Creche
85121;Educação Infantil - Pré-Escola
85139;Ensino Fundamental
85201;Ensino Médio
85317;Educação Superior - Graduação
85325;Educação Superior - Graduação e Pós-Graduação
85333;Educação Superior - Pós-Graduação e Extensão
85414;Educação Profissional de Nível Técnico
85422;Educação Profissional de Nível Tecnológico
85503;Atividades de Apoio à Educação
85911;Ensino de Esportes
85929;Ensino de Arte e Cultura
85937;Ensino de Idiomas
85996;Atividades de Ensino não Especificadas Anteriormente
86101;Atividades de Atendimento Hospitalar
86216;Serviços Móveis de Atendimento a Urgências
86224;Serviços de Remoção de Pacientes, Exceto Os Serviços Móveis de Atendimento a Urgências
86305;Atividades de Atenção Ambulatorial Executadas por Médicos e Odontólogos
86402;Atividades de Serviços de Complementação Diagnóstica e Terapêutica
86500;Atividades de Profissionais da área de Saúde, Exceto Médicos e Odontólogos
86607;Atividades de Apoio à Gestão de Saúde
86909;Atividades de Atenção à Saúde Humana não Especificadas Anteriormente
87115;Atividades de Assistência a Idosos, Deficientes Físicos, Imunodeprimidos e Convalescentes Prestadas em Residências Coletivas e Particulares
87123;Atividades de Fornecimento de Infra-Estrutura de Apoio e Assistência a Paciente no Domicílio
87204;Atividades de Assistência Psicossocial e à Saúde a Portadores de Distúrbios Psíquicos, Deficiência Mental e Dependência Química
87301;Atividades de Assistência Social Prestadas em Residências Coletivas e Particulares
88006;Serviços de Assistência Social sem Alojamento
90019;Artes Cênicas, Espetáculos e Atividades Complementares
90027;Criação Artística
90035;Gestão de Espaços para Artes Cênicas, Espetáculos e Outras Atividades Artísticas
91015;Atividades de Bibliotecas e Arquivos
91023;Atividades de Museus e de Exploração, Restauração Artística e Conservação de Lugares e Prédios Históricos e Atrações Similares
91031;Atividades de Jardins Botânicos, Zoológicos, Parques Nacionais, Reservas Ecológicas e áreas de Proteção Ambiental
92003;Atividades de Exploração de Jogos de Azar e Apostas
93115;Gestão de Instalações de Esportes
93123;Clubes Sociais, Esportivos e Similares
93131;Atividades de Condicionamento Físico
93191;Atividades Esportivas não Especificadas Anteriormente
93212;Parques de Diversão e Parques Temáticos
93298;Atividades de Recreação e Lazer não Especificadas Anteriormente
94111;Atividades de Organizações Associativas Patronais e Empresariais
94120;Atividades de Organizações Associativas Profissionais
94201;Atividades de Organizações Sindicais
94308;Atividades de Associações de Defesa de Direitos Sociais
94910;Atividades de Organizações Religiosas
94928;Atividades de Organizações Políticas
94936;Atividades de Organizações Associativas Ligadas à Cultura e à Arte
94995;Atividades Associativas não Especificadas Anteriormente
95118;Reparação e Manutenção de Computadores e de Equipamentos Periféricos
95126;Reparação e Manutenção de Equipamentos de Comunicação
95215;Reparação e Manutenção de Equipamentos Eletroeletrônicos de Uso Pessoal e Doméstico
95291;Reparação e Manutenção de Objetos e Equipamentos Pessoais e Domésticos não Especificados Anteriormente
96017;Lavanderias, Tinturarias e Toalheiros
96025;Cabeleireiros e Outras Atividades de Tratamento de Beleza
96033;Atividades Funerárias e Serviços Relacionados
96092;Atividades de Serviços Pessoais não Especificadas Anteriormente
97005;Serviços Domésticos
99008;Organismos Internacionais e Outras Instituições Extraterritoriais
